filename,x1,y1,x2,y2,with_mask
000000.jpg,149,0,513,393,TRUE
000001.jpg,119,28,157,79,TRUE
000002.jpg,109,51,180,136,TRUE
000003.jpg,263,40,703,679,TRUE
000004.jpg,137,9,163,39,TRUE
000005.jpg,51,33,88,83,TRUE
000006.jpg,47,28,106,115,TRUE
000006.jpg,135,35,189,111,TRUE
000007.jpg,126,12,242,169,TRUE
000007.jpg,42,69,76,108,TRUE
000008.jpg,426,84,619,342,TRUE
000009.jpg,0,6,134,159,TRUE
000009.jpg,0,128,7,142,FALSE
000010.jpg,138,35,194,111,TRUE
000011.jpg,62,76,76,93,TRUE
000011.jpg,131,64,144,80,TRUE
000011.jpg,27,60,39,78,TRUE
000011.jpg,154,61,164,76,TRUE
000011.jpg,261,49,275,80,TRUE
000011.jpg,187,62,201,78,TRUE
000012.jpg,473,109,645,346,TRUE
000013.jpg,462,85,553,212,TRUE
000013.jpg,187,96,243,170,FALSE
000013.jpg,754,109,822,195,TRUE
000013.jpg,719,80,761,133,FALSE
000013.jpg,11,101,82,194,TRUE
000013.jpg,344,75,387,136,TRUE
000013.jpg,550,85,592,150,FALSE
000014.jpg,595,71,709,239,TRUE
000014.jpg,419,246,462,307,TRUE
000014.jpg,43,301,82,370,FALSE
000014.jpg,818,301,877,389,TRUE
000015.jpg,630,92,747,282,TRUE
000015.jpg,280,177,399,360,TRUE
000015.jpg,1,536,29,580,FALSE
000016.jpg,564,129,688,322,TRUE
000017.jpg,517,239,563,294,TRUE
000017.jpg,336,241,384,303,TRUE
000017.jpg,230,159,270,205,FALSE
000017.jpg,719,229,763,281,FALSE
000018.jpg,240,133,284,191,TRUE
000018.jpg,388,141,431,198,TRUE
000018.jpg,656,139,695,188,FALSE
000018.jpg,538,160,576,209,FALSE
000019.jpg,205,38,450,386,TRUE
000020.jpg,130,1,221,128,TRUE
000021.jpg,510,287,719,528,TRUE
000022.jpg,120,27,187,110,TRUE
000023.jpg,424,163,1145,1150,TRUE
000024.jpg,396,283,685,676,TRUE
000025.jpg,79,14,179,150,TRUE
000026.jpg,377,545,857,1203,TRUE
000027.jpg,663,73,772,221,TRUE
000028.jpg,421,172,1110,1041,TRUE
000029.jpg,367,633,754,1288,TRUE
000030.jpg,548,413,724,638,TRUE
000030.jpg,791,420,972,648,TRUE
000031.jpg,101,38,161,104,TRUE
000032.jpg,611,254,787,485,TRUE
000033.jpg,142,98,165,129,TRUE
000033.jpg,24,100,50,133,FALSE
000034.jpg,889,196,1157,602,TRUE
000034.jpg,64,158,325,498,TRUE
000034.jpg,454,129,704,465,TRUE
000035.jpg,617,149,784,430,TRUE
000036.jpg,42,19,899,1198,TRUE
000037.jpg,454,320,1019,975,TRUE
000038.jpg,43,11,93,82,TRUE
000038.jpg,93,124,144,195,TRUE
000038.jpg,150,12,194,80,TRUE
000039.jpg,129,123,140,139,TRUE
000040.jpg,597,321,1120,1079,TRUE
000041.jpg,601,0,800,429,TRUE
000042.jpg,86,18,185,150,TRUE
000043.jpg,408,171,1075,1116,TRUE
000044.jpg,303,150,587,617,TRUE
000045.jpg,385,706,784,1236,TRUE
000046.jpg,323,260,754,836,TRUE
000047.jpg,107,73,226,251,TRUE
000047.jpg,537,159,630,332,TRUE
000048.jpg,271,175,545,589,TRUE
000049.jpg,417,180,730,717,TRUE
000050.jpg,466,53,643,262,TRUE
000051.jpg,273,254,604,742,TRUE
000051.jpg,670,167,885,644,TRUE
000052.jpg,183,0,226,60,TRUE
000053.jpg,70,61,130,148,TRUE
000054.jpg,96,401,714,1270,TRUE
000055.jpg,324,0,848,669,TRUE
000056.jpg,576,107,704,315,TRUE
000057.jpg,454,362,736,770,TRUE
000058.jpg,444,318,807,902,TRUE
000058.jpg,485,16,646,133,FALSE
000059.jpg,215,86,837,939,TRUE
000060.jpg,380,0,881,443,TRUE
000061.jpg,58,11,552,444,TRUE
000062.jpg,340,201,764,831,TRUE
000063.jpg,90,216,429,662,TRUE
000063.jpg,636,97,999,636,FALSE
000064.jpg,135,90,419,506,TRUE
000065.jpg,38,164,534,780,TRUE
000066.jpg,725,68,1022,526,TRUE
000067.jpg,201,178,847,1031,TRUE
000068.jpg,382,302,796,888,TRUE
000069.jpg,354,406,724,963,TRUE
000070.jpg,78,143,151,240,TRUE
000070.jpg,311,152,382,243,TRUE
000070.jpg,183,254,242,320,FALSE
000070.jpg,200,67,235,121,TRUE
000071.jpg,172,44,238,138,FALSE
000072.jpg,335,183,731,820,TRUE
000073.jpg,209,141,364,357,TRUE
000073.jpg,697,151,842,348,TRUE
000074.jpg,130,54,177,124,TRUE
000074.jpg,244,32,294,111,TRUE
000075.jpg,189,196,405,461,TRUE
000075.jpg,705,98,894,360,TRUE
000076.jpg,298,387,680,887,TRUE
000077.jpg,92,53,149,138,TRUE
000077.jpg,282,35,339,119,TRUE
000078.jpg,75,49,159,162,TRUE
000078.jpg,445,49,522,158,TRUE
000079.jpg,233,196,771,920,TRUE
000080.jpg,496,410,814,882,TRUE
000080.jpg,676,1,779,116,FALSE
000081.jpg,135,157,282,360,TRUE
000082.jpg,383,126,696,671,TRUE
000083.jpg,317,149,700,655,TRUE
000084.jpg,459,221,716,499,TRUE
000085.jpg,153,35,299,269,TRUE
000086.jpg,258,184,822,970,TRUE
000087.jpg,178,82,348,303,TRUE
000087.jpg,743,431,895,618,TRUE
000087.jpg,751,14,850,155,FALSE
000087.jpg,939,79,1002,157,FALSE
000088.jpg,377,231,743,830,TRUE
000089.jpg,678,392,832,596,TRUE
000090.jpg,431,272,584,471,FALSE
000091.jpg,421,244,489,338,TRUE
